Artikelnummer;Oms1;Oms2;Oms3;Zoeknaam;Groep;EAN;Verkoopprijs;Eenheid;Prijs per;Voorraad
WD503           ;RING VOOR G1/4;OOK VOOR M14X1.5;;DOWTY R ;F0401400;;.74;ST      ;1;25
WD504           ;RING M16X1.5;;;DOWTY   ;F0401400;;.74;ST      ;1;89
WD505           ;RING G3/8;;;DOWTY   ;F0401400;;.74;ST      ;1;27
WD506           ;RING M18X1.5;;;DOWTY   ;F0401400;;.82;ST      ;1;35
WD507           ;RING M20X1.5;;;DOWTY   ;F0401400;;.87;ST      ;1;25
WD508           ;RING VOOR G1/2;;;DOWTY RI;F0401400;;.87;ST      ;1;88
WD509           ;RING VOOR M22X1.5;;;DOWTY RI;F0401400;;.92;ST      ;1;30
WD510           ;RING VOOR G3/4;OOK VOOR M26X1.5 + M27X2;;GE20SR 3;F0401400;;.98;ST      ;1;50
WD511           ;RING VOOR G 1 EN M33X2;;;GE25SR 1;F0401400;;1.74;ST      ;1;50
WD512           ;RING VOOR G1 1/4 EN;M42X2;;DOWTY RI;F0401400;;2.25;ST      ;1;48
WD513           ;RING VOOR G1 1/2 EN;M48X2;;DOWTY RI;F0401400;;3.33;ST      ;1;25
WE 4LLM 8       ;METR.HAAKSE INSCHR.KOPPELING;;;WE4LLM8 ;F0401065;;6.85;ST      ;1;5
WE 4LLN 1/8     ;NPT HAAKSE INSCHR.KOPPELING;;;WE4LLN1/;F0401069;;8.22;ST      ;1;3
WE 4LLR 1/8     ;BSP HAAKSE INSCHR.KOPPELING;;;WE4LLR1/;F0401067;;6.78;ST      ;1;4
WE 6LLM 10      ;METR.HAAKSE INSCHR.KOPPELING;;;WE6LLM10;F0401065;;7.09;ST      ;1;15
WE 6LLN 1/8     ;NPT HAAKSE INSCHR.KOPPELING;;;WE6LLN1/;F0401069;;8.25;ST      ;1;7
WE 6LLR 1/8     ;BSP HAAKSE INSCHR.KOPPELING;;;WE6LLR1/;F0401067;;6.92;ST      ;1;103
WE 6LM 10       ;METR.HAAKSE INSCHR.KOPPELING;;;WE6LM10 ;F0401065;;7.22;ST      ;1;15
WE 6LN 1/4      ;NPT HAAKSE INSCHR.KOPPELING;;;WE6LN1/4;F0401069;;11.54;ST      ;1;9
WE 6LN 1/8      ;NPT HAAKSE INSCHR.KOPPELING;;;WE6LN1/8;F0401069;;8.06;ST      ;1;17
WE 6LR 1/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE6LR1/4;F0401067;;9.26;ST      ;1;134
WE 6LR 1/8      ;BSP HAAKSE INSCHR.KOPPELING;;;WE6LR1/8;F0401067;;7.09;ST      ;1;20
WE 6SM 12       ;METR.HAAKSE INSCHR.KOPPELING;;;WE6SM12 ;F0401066;;9.45;ST      ;1;3
WE 6SN 14       ;NPT HAAKSE INSCHR.KOPPELING;;;WE6SN14 ;F0401070;;9.37;ST      ;1;6
WE 6SR 1/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE6SR1/4;F0401068;;8.27;ST      ;1;3
WE 8LLM 10      ;METR.HAAKSE INSCHR.KOPPELING;;;WE8LLM10;F0401065;;7.9;ST      ;1;3
WE 8LLN 1/8     ;NPT HAAKSE INSCHR.KOPPELING;;;WE8LLN1/;F0401069;;9.28;ST      ;1;6
