Laag;Groep;Volgnummer
2;F0203303;Slangk. wartel jic DKJ 90gr.
2;F0203304;Slangk. wartel jic DKJ 45gr.
2;F0203360;Slangk. unf uitwendig ORMS
2;F0203361;Slangk. wartel unf ORFS recht
2;F0203362;Slangk. wartel unf ORFS 90gr.
2;F0203363;Slangk. wartel unf ORFS  45gr.
2;F0203411;Slangk. metr. uitwendig CES
2;F0203413;Slangk. wartel metrisch DKOS
2;F0203415; Slangk. wartel metr. DKOS 90gr.
2;F0203417;Slangk. wartel metr. DKOS 45gr.
2;F0203501;Flenskopp. SAE 3000 PSI recht
2;F0203502;Flenskopp. SAE 3000 PSI 90gr.
2;F0203503;Flenskopp. SAE 3000 PSI 45gr
2;F0203510;Flenskopp. SAE 6000 PSI recht
2;F0203511;Flenskopp. SAE 6000 PSI 90gr.
2;F0203512;Flenskopp. SAE 6000 PSI 45gr.
2;F0203520;Flensk. "CAT" 9000 PSI recht
2;F0203521;Flensk. "CAT" 9000 PSI 90gr.
2;F0203522;Flensk. "CAT" 9000 PSI 45gr.
2;F0204100;Slangkopp.bu.draad BSP "AGR"
2;F0204102;Slangkopp. wartel BSP "DKR"
2;F0204104;Slangk. wartel BSP "DKR" 90gr.
2;F0204105;Slangk. wartel BSP "DKR" 45gr.
2;F0204290;Slangk. npt uitwendig AGN
2;F0204301;Slangk. jic uitwendig AGJ
2;F0204302;Slangk.wartel jic DKJ recht
2;F0204303;Slangk. wartel jic DKJ 90gr.
2;F0204304;Slangk. wartel jic DKJ 45gr
2;F0204360;Slangk. unf uitwendig ORMS
2;F0204361;Slangk. wartel unf ORFS recht
2;F0204362;Slangk. wartel unf ORFS 90gr
2;F0204363;Slangk. wartel unf ORFS 45gr.
2;F0204411;Slangk. metr. uitwendig CES
2;F0204413;Slangk. wartel metrisch DKOS
2;F0204415;Slangk. wartel metr. DKOS 90gr
2;F0204417;Slangk. wartel metr. DKOS 45gr
2;F0204501;Flenskopp. SAE 3000 PSI recht
2;F0204502;Flenskopp. SAE 3000 PSI 90gr.
2;F0204503;Flenskopp. SAE 3000 PSI 45gr.
2;F0204510;Flenskopp. SAE 6000 PSI recht
2;F0204511;Flenskopp. SAE 6000 PSI 90gr.
2;F0204512;Flenskopp. SAE 6000 PSI 45gr.
2;F0204513;Flenskopp. SAE 6000 PSI 60gr.
2;F0204520;Flensk. "CAT" 9000 PSI recht
2;F0204521;Flensk. "CAT" 9000 PSI 90gr.
2;F0204522;Flensk. "CAT" 9000 PSI 45gr.
2;F0204530;
2;F0204532;
2;F0301001;Hd-buis naadloos koudgetrokken
2;F0301002;Assenstaal verchroom 20MnV6
2;F0301003;Cilinderbuis
2;F0301004;Profielbuis
2;F0302001;Pijpklemmen enkel
2;F0302002;Pijpklemmen dubbel
2;F0302003;Pijpklemmen zwaar
2;F0401001;Snijring metrisch licht
2;F0401002;Snijring metrisch zwaar
2;F0401005;Moer metrisch licht
2;F0401006;Moer metrisch zwaar
2;F0401007;Rechte pijpkoppeling licht
2;F0401008;Rechte pijpkoppeling zwaar
2;F0401009;Rechte verloopkopp. metr. lich
2;F0401010;Rechte verloopkopp. metr. zwaa
2;F0401011;Haakse pijpkopp. metr. licht
2;F0401012;Haakse pijpkopp. metr. zwaar
2;F0401013;T-pijpkoppeling metrisch licht
2;F0401014;T-pijpkoppeling metrisch zwaar
2;F0401015;Kruiskoppeling  metrisch
2;F0401016;Rechte schotkoppeling licht
2;F0401017;Rechte schotkoppeling zwaar
2;F0401018;Rechte schotkopp. verlopend
2;F0401019;Moer schotkoppeling
2;F0401020;Haakse schotkoppeling licht
2;F0401021;Haakse schotkoppeling zwaar
2;F0401022;Rechte aanlaskoppeling
2;F0401023;Rechte lasschotkoppeling licht
2;F0401024;Rechte lasschotkoppeling zwaar
2;F0401025;Rechte aanlaskoppeling
2;F0401030;Rechte inschroefk. metr. licht
2;F0401031;Rechte inschroefk. metr. zwaar
2;F0401032;Rechte inschroefk. bsp licht
2;F0401033;Rechte inschroefk. bsp zwaar
2;F0401034;Rechte inschroefk. bspt licht
2;F0401035;Rechte inschroefk. bspt zwaar
2;F0401036;Rechte inschroefk. npt licht
2;F0401037;Rechte inschroefk. npt zwaar
2;F0401038;Rechte inschroefk. unf licht
2;F0401039;Rechte inschroefk. unf zwaar
2;F0401040;Recht pijpstuk metrisch licht
2;F0401041;Recht pijpstuk metrisch zwaar
2;F0401042;Recht pijpstuk bsp licht
2;F0401043;Recht pijpstuk bsp zwaar
2;F0401045;Recht voorgem. pijpst. metr. l
2;F0401046;Recht voorgem. pijpst. metr. z
2;F0401047;Recht voorgem. pijpst. bsp l.
2;F0401048;Recht voorgem. pijpst. bsp z.
2;F0401049;Recht voorgem. pijpst. npt l.
2;F0401050;Recht voorgem. pijpst. npt z.
2;F0401051;Instelbare haakse kopp. l. ng
2;F0401052;Instelbare haakse kopp. z. ng
2;F0401053;Instelbare haakse kopp. licht
2;F0401054;Instelbare haakse kopp. zwaar
2;F0401055;Instelbare T-kopp. licht nvg
2;F0401056;Instelbare T-kopp. zwaar nvg
2;F0401057;Instelbare T-kopp. licht
2;F0401058;Instelbare T-kopp. zwaar
2;F0401061;Instelbare L-kopp. licht nvg
2;F0401062;Instelbare L-kopp. zwaar nvg
2;F0401063;Instelbare L-kopp. licht
2;F0401064;Instelbare L-kopp. zwaar
2;F0401065;Haakse inschroefk. metr. licht
2;F0401066;Haakse inschroefk. metr. zwaar
2;F0401067;Haakse inschroefk. bsp licht
2;F0401068;Haakse inschroefk. bsp zwaar
2;F0401069;Haakse inschroefk. npt licht
2;F0401070;Haakse inschroefk. npt zwaar
2;F0401072;T-inschroefk. metrisch licht
2;F0401073;T-inschroefk. metrisch zwaar
2;F0401074;T-inschroefk. bsp licht
2;F0401075;T-inschroefk. bsp zwaar
2;F0401076;T-inschroefk. npt licht
2;F0401080;Zwenkkoppeling metrisch licht
2;F0401081;Zwenkkoppeling metrisch zwaar
2;F0401082;Zwenkkoppeling bsp licht
2;F0401083;Zwenkkoppeling bsp zwaar
2;F0401084;T-zwenkkopp. metrisch licht
2;F0401085;T-zwenkkopp. metrisch zwaar
2;F0401086;T-zwenkkopp. bsp licht
2;F0401087;T-zwenkkopp. bsp zwaar
2;F0401088;Rechte verloopkopp. bsp bu.bi.
2;F0401089;Rechte reduktiekopp. licht nvg
2;F0401090;Rechte reduktiekopp. zwaar nvg
2;F0401091;Rechte reduktiekopp. licht
2;F0401092;Rechte reduktiekopp. zwaar
2;F0401093;Afsluitstop
2;F0401094;Eindstop metrisch
2;F0401095;Plug metrisch
2;F0401096;Plug bsp
2;F0401097;Plug npt
2;F0401102;Manometerkoppeling recht
2;F0401104;Opschroefkopp. metrisch licht
2;F0401105;Opschroefkopp. metrisch zwaar
2;F0401106;Opschroefkopp. bsp licht
2;F0401107;Opschroefkopp. bsp zwaar
2;F0401121;Rechte opschroefkoppeling
2;F0401125;L-inschroefkoppeling metrisch
2;F0401126;L-inschroefkoppeling bsp
2;F0401127;45 GR. metrische koppeling
2;F0401400;Ring WD koppeling
2;F0501001;Afsluitdop BSP
2;F0501002;Rechte nippel 2x wartel BSP
2;F0501003;Rechte nippel wartel-Budr BSP
2;F0501004;Rechte nippel wartel-budr BSPT
2;F0501005;Rechte nippel wartel bsp-jic
2;F0501006;Rechte nippel wartel bsp-jic budr.
2;F0501007;Rechte nippel wartel bsp-metr. bu.
2;F0501010;Push in adapter
2;F0501019;Plug BSP buitendraad
2;F0501020;Rechte nippel 2x bsp bu.
2;F0501021;Rechte schotnippel 2x bsp bu.
2;F0501022;Rechte nippel bsp bu. - bspt
2;F0501023;Rechte nippel bsp bu. - bsp bi.
2;F0501024;Rechte nippel bsp bu. - jic wartel
2;F0501025;Rechte nippel bsp bu. - jic bu.
2;F0501026;Rechte nippel bsp bu. - metr. wartel
2;F0501027;Rechte nippel bsp bu. - metr. bu.
2;F0501028;Rechte nippel bsp bu. - unf bu.
2;F0501029;Rechte nippel bsp bu. - npt bu.
2;F0501030;Rechte nippel bsp bu. - npt bi.
2;F0501031;Rechte nippel bsp bu. - banjo bsp
2;F0501035;Rechte nippel bsp bu. - jic bu.
2;F0501036;Rechte nippel bsp bu. - unf bu.
2;F0501050;Plug bspt
2;F0501051;Rechte nippel 2x bspt bu.
2;F0501052;Rechte nippel bspt bu. - bspt bi.
2;F0501053;Rechte nippel BSPT bu.- JIC bu.
2;F0501054;Rechte nippel 2x bspt binnen
2;F0501055;Rechte nippel bspt bi. - npt bu.
2;F0501056;Rechte nippel bspt bi. - jic bu.
2;F0501057;Rechte nippel bspt bi. - metr. bu
2;F0501060;Plug metrisch bi.
2;F0501061;Rechte nippel 2x metr. wartel
2;F0501062;Rechte nippel metr. wartel - metr. bu.
2;F0501063;Plug unf
2;F0501070;Wartel jic
2;F0501071;Plug jic
2;F0501072;Rechte nippel 2x jic wartel
2;F0501073;Rechte nippel jic wartel - jic bu.
2;F0501074;Rechte nippel 2x jic bu
2;F0501075;Rechte nippel jic bu - jic schot
2;F0501076;Schotmoer jic
2;F0501077;Rechte nippel jic bu - unf bu
2;F0501078;Rechte nippel jic bu -unf bu
2;F0501079;Rechte nippel jic bu - npt bu
2;F0501080;Plug metrisch
2;F0501081;Rechte nippel 2x metr. bu.
2;F0501082;Rechte nippel 2x metrisch bi.
2;F0501083;Flair nippel en steunring
2;F0501085;Plug unf
2;F0501086;Rechte nippel npt bi. - npt bu.
2;F0501087;Plug npt
2;F0501088;Rechte nippel 2x npt bu.
2;F0501089;Rechte nippel npt bu. - npt bi.
2;F0501090;Rechte nippel 2x npt bi.
2;F0501091;Rechte nippel unf bu.
2;F0501100;Flensadapter
2;F0502004;Nippel 45gr. wartel bsp-bsp bu.
2;F0502006;Nippel 45gr. 2x wartel bsp
2;F0502007;Nippel 45gr. wartel bsp - bsp bu.
2;F0502008;Nippel 45gr. 2x bsp bu.
2;F0502009;Nippel 45gr. 2x bsp bu.
2;F0502010;Nippel 45gr. jic bi. - jic bu.
2;F0502011;Nippel 45gr. jic bu. - jic bu.
2;F0502012;Nippel 45gr. jic bu. - npt bu.
2;F0503001;Nippel 90gr. 2x wartel bsp
2;F0503002;Nippel 90gr. wartel bsp - bsp bu.
2;F0503003;Nippel 90gr. Wartel bsp - bsp bu.
2;F0503004;Nippel 90gr. wartel bsp - bspt bu.
2;F0503005;Nippel 90gr. wartel bsp - jic bu.
2;F0503006;Nippel 90gr. 2x wartel bsp
2;F0503007;Nippel 90gr. wartel bsp - bsp bu. lang
2;F0503008;Nippel 90gr. 2x bsp bu
2;F0503009;Nippel 90gr. 2 bsp bu.
2;F0503010;Nippel 90gr. 2x bsp bu.
2;F0503011;Nippel 90gr. bsp bu. - bspt
2;F0503012;Nippel 90gr. bsp bu. - jic bu.
2;F0503013;Nippel 90gr. bsp bu. - jic bu.
2;F0503014;Nippel 90gr. bsp bu. - npt bu.
2;F0503015;Nippel 90gr. 2x bspt bu
2;F0503016;Nippel 90gr. bsp bi. - bspt bu.
2;F0503017;Nippel 90gr. 2x bsp bi.
2;F0503018;Nippel 90gr. bspt bu. - jic bu.
2;F0503020;Nippel 90gr. jic bi. - jic bu.
2;F0503021;Nippel 90gr. 2x jic bi.
2;F0503022;Nippel 90gr. 2x jic bu
2;F0503023;Nippel 90gr. jic bu-jic schot bu
2;F0503024;Nippel 90gr. jic bu-unf bu
2;F0503025;Nippel 90gr. jic bu-npt bu
2;F0503026;Nippel 90gr. npt bu-npt bi
2;F0503027;Nippel 90gr. 2x npt bu
2;F0503028;Nippel 90gr. 2x npt bi
2;F0503031;Nippel 90gr. unf bu.-unf bu.
2;F0503032;Nippel 90gr. unf bi. - unf bu.
2;F0503033;Nippel 90gr. bsp bu. - unf/orfs bu
2;F0504001;Nippel 3x wartel BSP
2;F0504002;Nippel 3x bsp bu.
2;F0504003;Nippel bsp bu - bsp bi - bsp bu
2;F0504004;Nippel bsp bu - bsp bi - bsp bu
2;F0504005;Nippel bsp bu - bsp bu - bsp bu
2;F0504006;Nippel 3x bspt bi
2;F0504007;Nippel 3x jic wartel
2;F0504008;Nippel jic bi-jic bu-jic bi
2;F0504009;Nippel jic bi-jic bi-jic bu
2;F0504010;Nippel jic bu-jic bi-jic bu
